COD UNIC CANDIDAT,SEX,MEDIU, COD SIIIR,STATUS ROMANA, STATUS LIMBA MATERNA,STATUS MATEMATICA,NOTA ROMANA,NOTA LIMBA MATERNA,NOTA MATEMATICA,CONTESTATIE ROMANA,NOTA CONTESTATIE ROMANA,CONTESTATIE LIMBA MATERNA,NOTA CONTESTATIE LB MATERNA,CONTESTATIE MATEMATICA,NOTA CONTESTATIE MATEMATICA,NOTA FINALA ROMANA,NOTA FINALA LB MATERNA,NOTA FINALA MATEMATICA,MEDIA,MEDIA V-VIII,fixed_code
8195928,M,RURAL,362101124,PREZENT,-,PREZENT,4.1,,3.5,NU,,NU,,NU,,4.1,,3.5,3.8,8.4,0361104181
8353724,F,URBAN,4061102635,PREZENT,-,PREZENT,4.9,,2.8,NU,,NU,,NU,,4.9,,2.8,3.85,8.5,4061102635
8727967,M,URBAN,161103364,PREZENT,-,PREZENT,3.65,,3.5,DA,4.0,NU,,DA,3.5,4.0,,3.5,3.75,7.16,0162103364
8844187,F,URBAN,162101905,PREZENT,-,PREZENT,4.7,,6.0,NU,,NU,,NU,,4.7,,6.0,5.35,8.84,0161103269
8566521,F,URBAN,461108066,PREZENT,-,PREZENT,6.45,,5.8,NU,,NU,,NU,,6.45,,5.8,6.12,8.94,0462108066
